
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Istočni i južni dijelovi,€433,13
Središnji i povijesni dijelovi,€346,12
Zapadni i rezidencijalni dijelovi,€300,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i južni dijelovi,€590,10
Zapadni i rezidencijalni dijelovi,€498,5
Središnji i povijesni dijelovi,€496,19

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€665,18
Zapadni i rezidencijalni dijelovi,€578,4
Other,€575,2
Istočni i južni dijelovi,€570,5

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1050,2
Središnji i povijesni dijelovi,€740,10
Istočni i južni dijelovi,€670,6

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Other,€1000,1
Zapadni i rezidencijalni dijelovi,€900,3
Središnji i povijesni dijelovi,€885,15

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1259,11
Zapadni i rezidencijalni dijelovi,€1150,3
