
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€576,8
Istočni i južni dijelovi,€477,5
Other,€400,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i južni dijelovi,€661,4
Središnji i povijesni dijelovi,€623,16

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1100,1
Središnji i povijesni dijelovi,€992,11
Sjeverni i industrijski dijelovi,€800,1
Other,€800,1
Istočni i južni dijelovi,€664,13

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Sjeverni i industrijski dijelovi,€846,3
Zapadni i rezidencijalni dijelovi,€800,3
Istočni i južni dijelovi,€705,12
Središnji i povijesni dijelovi,€693,12

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1043,8
Istočni i južni dijelovi,€895,7
Zapadni i rezidencijalni dijelovi,€617,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1816,3
Zapadni i rezidencijalni dijelovi,€1750,2
Istočni i južni dijelovi,€1483,6
Sjeverni i industrijski dijelovi,€1233,3
