
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€554,93
Zapadni dijelovi,€490,50
Rezidencijalni i noviji dijelovi,€471,89
Istočni i sjeverni dijelovi,€426,14

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€706,96
Zapadni dijelovi,€623,69
Rezidencijalni i noviji dijelovi,€606,113
Istočni i sjeverni dijelovi,€571,20

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€835,114
Zapadni dijelovi,€723,78
Rezidencijalni i noviji dijelovi,€720,130
Istočni i sjeverni dijelovi,€685,26

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€924,88
Zapadni dijelovi,€898,81
Rezidencijalni i noviji dijelovi,€840,108
Istočni i sjeverni dijelovi,€706,35

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zapadni dijelovi,€1104,71
Istočni i sjeverni dijelovi,€1000,26
Središnji i povijesni dijelovi,€993,79
Rezidencijalni i noviji dijelovi,€922,83

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni dijelovi,€1687,42
Rezidencijalni i noviji dijelovi,€1358,59
Središnji i povijesni dijelovi,€1236,83
Istočni i sjeverni dijelovi,€718,15
