
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€390,1
Središnji dio i povijesne četvrti,€300,1
Istočni i industrijski dijelovi,€250,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€393,3

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€525,4
Other,€500,1
Zapadni i rezidencijalni dijelovi,€360,1
Istočni i industrijski dijelovi,€356,3

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Istočni i industrijski dijelovi,€700,1
Other,€600,1
Središnji dio i povijesne četvrti,€575,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€850,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€725,2
Veća gradska naselja,€200,1
