
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 3,€550,1
Zona 4,€550,1
Zona 2,€500,2
Zona 1,€400,2

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€775,4
Zona 2,€600,4

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 3,€1350,1
Zona 1,€892,7
Zona 2,€808,6

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€1157,7
Zona 1,€1050,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 1,€1450,2
Zona 4,€1200,1
Zona 3,€1000,1
Zona 2,€900,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 4,€1200,1
Zona 1,€1133,3
Zona 3,€999,1
Zona 2,€870,4
