
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€725,4
Zapadni i elitni dijelovi,€700,12
Istočni i rezidencijalni dijelovi,€585,27
Sjeverni i industrijski dijelovi,€566,3
Središnji i povijesni dijelovi,€558,25
Prigradska i ruralna područja,€550,8

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€962,27
Sjeverni i industrijski dijelovi,€855,10
Prigradska i ruralna područja,€846,18
Zapadni i elitni dijelovi,€834,31
Središnji i povijesni dijelovi,€793,43
Istočni i rezidencijalni dijelovi,€772,39

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€1137,39
Zapadni i elitni dijelovi,€1071,33
Središnji i povijesni dijelovi,€1000,40
Istočni i rezidencijalni dijelovi,€995,42
Prigradska i ruralna područja,€957,14
Sjeverni i industrijski dijelovi,€918,8

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€1538,30
Zapadni i elitni dijelovi,€1455,41
Središnji i povijesni dijelovi,€1177,31
Istočni i rezidencijalni dijelovi,€1077,38
Prigradska i ruralna područja,€870,12
Sjeverni i industrijski dijelovi,€795,11

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€1993,37
Zapadni i elitni dijelovi,€1619,48
Središnji i povijesni dijelovi,€1504,22
Istočni i rezidencijalni dijelovi,€1225,31
Sjeverni i industrijski dijelovi,€1122,9
Prigradska i ruralna područja,€895,11

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni i elitni dijelovi,€2083,28
Južni i noviji dijelovi,€1880,18
Središnji i povijesni dijelovi,€1813,15
Prigradska i ruralna područja,€1720,5
Istočni i rezidencijalni dijelovi,€1037,8
Sjeverni i industrijski dijelovi,€650,3
