
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€476,12
Zapadni i rezidencijalni dijelovi,€450,1
Istočni i industrijski dijelovi,€340,3

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i industrijski dijelovi,€685,2
Središnji i povijesni dijelovi,€522,11
Zapadni i rezidencijalni dijelovi,€420,2

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€685,7
Središnji i povijesni dijelovi,€611,7
Other,€600,1
Istočni i industrijski dijelovi,€450,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€821,7
Istočni i industrijski dijelovi,€800,1
Zapadni i rezidencijalni dijelovi,€617,4

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€912,8
Zapadni i rezidencijalni dijelovi,€880,4
Istočni i industrijski dijelovi,€750,3

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1093,8
Zapadni i rezidencijalni dijelovi,€900,1
