
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€900,2
Istočni i noviji dijelovi,€577,4
Južni i industrijski dijelovi,€500,1
Zapadni i rezidencijalni dijelovi,€463,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i noviji dijelovi,€728,7
Središnji i povijesni dijelovi,€668,8
Južni i industrijski dijelovi,€664,7
Zapadni i rezidencijalni dijelovi,€624,9

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€975,9
Zapadni i rezidencijalni dijelovi,€908,15
Istočni i noviji dijelovi,€825,17

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Istočni i noviji dijelovi,€1333,3
Zapadni i rezidencijalni dijelovi,€1173,15
Središnji i povijesni dijelovi,€1057,7
Južni i industrijski dijelovi,€930,5

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Other,€2500,1
Zapadni i rezidencijalni dijelovi,€1421,8
Istočni i noviji dijelovi,€1256,3
Središnji i povijesni dijelovi,€1200,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Istočni i noviji dijelovi,€1645,7
Južni i industrijski dijelovi,€1500,1
Središnji i povijesni dijelovi,€1475,4
Zapadni i rezidencijalni dijelovi,€1227,11
