
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Donji Grad,€686,44
Gornji Grad - Medveščak,€614,42
Novi Zagreb - Istok,€592,19
Maksimir,€583,30
Donja Dubrava,€567,11
Trnje,€563,29
Trešnjevka - Jug,€545,29
Trešnjevka - Sjever,€530,41
Stenjevec,€523,11
Sesvete,€520,9
Podsljeme,€520,6
Peščenica - Žitnjak,€512,27
Podsused - Vrapče,€510,5
Novi Zagreb - Zapad,€500,14
Črnomerec,€499,18
Gornja Dubrava,€487,21
Brezovica,€400,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zagreb - Okolica,€1200,1
Donji Grad,€837,76
Gornji Grad - Medveščak,€794,66
Novi Zagreb - Istok,€762,41
Črnomerec,€747,48
Trnje,€738,57
Novi Zagreb - Zapad,€735,63
Maksimir,€723,53
Trešnjevka - Jug,€722,65
Trešnjevka - Sjever,€687,69
Peščenica - Žitnjak,€687,49
Gornja Dubrava,€686,22
Stenjevec,€684,38
Podsused - Vrapče,€657,18
Podsljeme,€650,6
Donja Dubrava,€637,22
Sesvete,€586,13

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Donji Grad,€993,62
Gornji Grad - Medveščak,€950,44
Trnje,€900,59
Stenjevec,€892,31
Maksimir,€849,47
Peščenica - Žitnjak,€827,66
Novi Zagreb - Istok,€810,46
Gornja Dubrava,€809,31
Trešnjevka - Sjever,€809,83
Podsljeme,€799,11
Trešnjevka - Jug,€792,62
Črnomerec,€792,46
Novi Zagreb - Zapad,€772,54
Podsused - Vrapče,€765,16
Donja Dubrava,€682,25
Sesvete,€657,24
Brezovica,€500,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Donji Grad,€1242,43
Gornji Grad - Medveščak,€1160,36
Podsljeme,€1126,9
Maksimir,€1075,40
Črnomerec,€1032,48
Trnje,€1019,46
Gornja Dubrava,€990,30
Trešnjevka - Jug,€990,39
Novi Zagreb - Zapad,€972,34
Peščenica - Žitnjak,€968,36
Trešnjevka - Sjever,€943,44
Stenjevec,€926,23
Donja Dubrava,€834,13
Novi Zagreb - Istok,€810,19
Sesvete,€724,13
Podsused - Vrapče,€671,8

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Donji Grad,€1542,67
Gornji Grad - Medveščak,€1442,58
Črnomerec,€1432,44
Trešnjevka - Jug,€1420,14
Trešnjevka - Sjever,€1357,28
Trnje,€1255,18
Maksimir,€1235,47
Podsljeme,€1115,15
Stenjevec,€1052,13
Novi Zagreb - Istok,€1033,13
Novi Zagreb - Zapad,€1010,19
Sesvete,€929,12
Gornja Dubrava,€920,22
Peščenica - Žitnjak,€881,13
Podsused - Vrapče,€843,13
Donja Dubrava,€685,11
Brezovica,€220,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Maksimir,€2130,126
Donji Grad,€2036,102
Gornji Grad - Medveščak,€2025,165
Črnomerec,€1980,65
Trnje,€1938,9
Peščenica - Žitnjak,€1919,28
Podsljeme,€1842,71
Trešnjevka - Jug,€1737,14
Trešnjevka - Sjever,€1669,25
Novi Zagreb - Zapad,€1515,10
Podsused - Vrapče,€1510,10
Stenjevec,€1351,8
Novi Zagreb - Istok,€1120,5
Gornja Dubrava,€990,10
Sesvete,€584,9
Donja Dubrava,€545,16
