
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 2,€450,2
Zona 1,€341,6
Zona 3,€325,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 3,€500,1
Zona 1,€475,17
Zona 2,€375,2

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 2,€600,3
Zona 1,€594,18
Zona 3,€400,6

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€706,2
Zona 3,€700,2
Zona 1,€600,10
Zona 4,€350,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€1350,1
Zona 1,€792,7
Zona 3,€400,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 1,€1355,14
Zona 3,€760,2
Zona 2,€500,1
