
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€576,14
Zona 5,€550,16
Zona 2,€538,8
Zona 7,€537,4
Zona 6,€530,5
Zona 3,€491,12
Zona 4,€481,8
Other,€480,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 4,€825,25
Zona 1,€823,46
Zona 2,€808,30
Zona 5,€749,31
Other,€733,3
Zona 3,€704,11
Zona 7,€703,15
Zona 6,€668,8

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 2,€1115,33
Zona 4,€1002,50
Other,€1000,1
Zona 3,€935,24
Zona 1,€907,45
Zona 6,€833,6
Zona 7,€802,11
Zona 5,€795,29

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€1351,40
Zona 4,€1203,47
Zona 1,€1188,28
Zona 3,€1110,10
Zona 7,€1023,19
Zona 6,€955,7
Zona 5,€866,24

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€1486,40
Zona 4,€1478,35
Zona 1,€1432,16
Zona 5,€1050,8
Zona 6,€1033,3
Zona 3,€881,8
Zona 7,€822,9

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€1963,22
Zona 1,€1890,14
Zona 4,€1765,19
Zona 3,€1416,3
Zona 7,€1200,9
Zona 5,€1086,3
Zona 6,€850,2
