
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 2,€375,2
Zona 1,€332,2
Zona 3,€265,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 3,€550,2
Zona 1,€506,9

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€600,2
Zona 2,€525,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 3,€850,1
Zona 1,€825,2
Zona 2,€766,3

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 1,€1033,3
Zona 2,€750,1
Zona 3,€556,3

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€1100,1
Zona 1,€700,1
