
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 4,€300,1
Zona 1,€300,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€675,2
Other,€650,1
Zona 3,€650,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€650,1
Zona 2,€630,1

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 1,€900,1
Zona 3,€700,1

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€1000,1
Zona 1,€900,1
Zona 3,€805,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
