
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€554,93
Zona 2,€490,50
Zona 3,€471,89
Zona 4,€426,14

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€706,96
Zona 2,€623,69
Zona 3,€606,113
Zona 4,€571,20

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€835,114
Zona 2,€723,78
Zona 3,€720,131
Zona 4,€687,25

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 1,€924,88
Zona 2,€898,81
Zona 3,€840,108
Zona 4,€706,35

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€1104,71
Zona 4,€1000,26
Zona 1,€993,79
Zona 3,€922,83

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€1687,42
Zona 3,€1358,59
Zona 1,€1236,83
Zona 4,€718,15
