
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 2,€390,1
Zona 1,€300,1
Zona 3,€250,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€393,3

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€525,4
Other,€500,1
Zona 2,€360,1
Zona 3,€356,3

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 3,€700,1
Other,€600,1
Zona 1,€575,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 1,€850,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 1,€725,2
Zona 4,€200,1
