
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 4,€750,6
Zona 2,€644,19
Zona 5,€597,15
Zona 6,€566,3
Zona 1,€561,18
Zona 7,€550,8
Zona 3,€525,12

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 4,€914,35
Zona 7,€846,18
Zona 2,€839,32
Zona 6,€833,3
Zona 5,€817,27
Zona 1,€788,42
Zona 3,€761,13
Other,€460,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Other,€1158,6
Zona 4,€1156,42
Zona 2,€1071,33
Zona 1,€1000,40
Zona 7,€957,14
Zona 3,€933,21
Zona 5,€901,26
Zona 6,€825,4

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 4,€1444,40
Zona 2,€1435,43
Zona 1,€1172,30
Zona 3,€988,13
Zona 5,€921,16
Zona 7,€870,12
Zona 6,€795,11

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 4,€1923,40
Zona 2,€1624,49
Zona 3,€1495,11
Zona 1,€1488,21
Zona 6,€1112,8
Zona 5,€1075,18
Zona 7,€895,11

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€2017,32
Zona 1,€1909,11
Zona 4,€1837,20
Zona 7,€1720,5
Zona 3,€1366,3
Zona 5,€700,4
Zona 6,€650,3
