
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€462,4
Zona 2,€450,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 2,€600,1
Zona 3,€566,3
Zona 1,€565,10
Other,€550,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 3,€800,1
Zona 1,€708,8
Other,€600,1

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 1,€855,8
Zona 2,€700,1

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€850,2
Zona 1,€790,5

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€1300,1
Zona 1,€950,10
