
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€900,2
Zona 4,€577,4
Zona 3,€500,1
Zona 2,€463,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€728,7
Zona 4,€716,6
Zona 3,€700,5
Zona 2,€615,11
Other,€525,2

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Other,€1100,1
Zona 1,€920,9
Zona 2,€908,15
Zona 4,€846,15

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€1173,17
Zona 4,€1100,2
Zona 1,€1057,7
Zona 3,€1025,4

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 3,€2500,1
Zona 2,€1421,8
Other,€1300,1
Zona 4,€1285,2
Zona 1,€1150,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 4,€1674,5
Zona 3,€1500,1
Other,€1400,1
Zona 2,€1366,12
Zona 1,€1187,4
