
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 2,€425,2
Zona 1,€300,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 3,€500,1
Zona 2,€400,1
Zona 1,€396,3
Zona 4,€300,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 3,€625,2
Zona 1,€516,6
Zona 2,€380,1

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 3,€600,1
Zona 1,€500,1

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 1,€750,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 1,€1200,1
