
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 4,€420,1
Zona 1,€393,3
Zona 3,€350,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€562,4
Zona 4,€450,2
Zona 2,€425,2
Zona 3,€350,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 3,€475,2
Zona 2,€400,1

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€600,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 1,€700,2
Zona 3,€200,1
