
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€550,1
Zona 2,€428,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 2,€700,5
Zona 1,€618,7
Zona 3,€540,5

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 4,€900,2
Zona 2,€888,6
Zona 1,€850,5
Zona 3,€455,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€1225,6
Zona 1,€1100,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€1500,1
Zona 1,€1450,2
Zona 3,€1000,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 2,€865,2
Zona 1,€750,1
