
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 1,€453,3

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 2,€800,1
Zona 1,€625,9
Zona 3,€600,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 3,€750,1
Zona 1,€656,5

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 2,€1056,5
Zona 1,€783,3

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 2,€966,3
Zona 1,€600,4
Zona 3,€550,2

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 1,€503,6
