
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zona 3,€500,1
Zona 4,€460,5
Zona 1,€442,4
Zona 2,€412,5

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zona 1,€738,14
Zona 2,€685,17
Zona 3,€600,6
Zona 4,€556,5

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zona 1,€942,7
Zona 2,€871,11
Other,€725,2
Zona 4,€687,4

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zona 3,€1000,2
Zona 2,€978,16
Zona 1,€975,8
Zona 4,€937,10

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zona 3,€1200,5
Zona 2,€1050,8
Zona 1,€1025,4
Zona 4,€966,3

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zona 4,€1833,3
Zona 1,€1800,1
Zona 2,€1200,8
Zona 3,€1000,1
